# GameN, gameLength, gameElo, minBase, dinBase
2362.0,300.0,1591.5,4.6,16.7
2363.0,196.0,1599.1,4.4,17.1
2364.0,300.0,1591.5,5.7,15.9
2365.0,139.0,1585.2,4.1,17.3
2366.0,104.0,1578.6,3.5,17.7
2367.0,77.0,1571.5,4.2,17.0
2368.0,147.0,1564.6,4.6,16.7
2369.0,152.0,1572.2,3.5,17.7
2370.0,256.0,1580.5,4.8,16.6
2371.0,161.0,1587.8,2.9,18.3
2372.0,90.0,1595.4,3.1,18.2
2373.0,166.0,1588.7,4.9,16.7
2374.0,300.0,1580.8,5.2,16.0
2375.0,141.0,1588.6,4.1,17.3
2376.0,133.0,1595.5,5.3,16.2
2377.0,300.0,1603.3,5.1,16.4
2378.0,209.0,1611.2,3.9,17.6
2379.0,142.0,1604.4,3.1,18.2
2380.0,185.0,1611.5,3.9,17.2
2381.0,300.0,1616.4,4.4,17.0
2382.0,124.0,1623.6,2.4,18.8
2383.0,130.0,1624.5,4.7,16.8
2384.0,171.0,1629.5,5.0,16.4
2385.0,230.0,1623.4,4.1,17.3
2386.0,170.0,1630.4,4.0,17.3
2387.0,227.0,1636.8,4.3,17.1
2388.0,300.0,1643.8,4.4,17.0
2389.0,188.0,1635.4,5.8,15.6
2390.0,186.0,1627.0,4.0,17.2
2391.0,300.0,1620.1,4.6,16.9
2392.0,269.0,1623.2,4.4,16.9
2393.0,129.0,1615.4,4.2,17.0
2394.0,113.0,1622.7,4.6,16.9
2395.0,300.0,1614.6,4.4,17.0
2396.0,175.0,1607.8,3.6,17.7
2397.0,300.0,1615.5,5.5,16.0
2398.0,238.0,1608.3,5.0,16.6
2399.0,296.0,1600.8,4.1,17.2
2400.0,190.0,1593.4,4.4,17.1
2401.0,186.0,1587.0,3.6,17.8
2402.0,51.0,1580.6,3.4,17.9
2403.0,174.0,1587.1,4.7,16.7
2404.0,300.0,1581.7,4.9,16.6
2405.0,268.0,1574.8,4.7,16.6
2406.0,184.0,1583.2,3.6,17.8
2407.0,126.0,1589.5,2.6,18.6
2408.0,149.0,1596.7,4.7,16.7
2409.0,162.0,1604.6,4.4,17.0
2410.0,235.0,1595.5,3.9,17.4
2411.0,184.0,1588.2,2.8,18.4
2412.0,233.0,1582.3,3.9,17.6
2413.0,300.0,1587.8,3.8,17.5
2414.0,210.0,1595.2,3.9,17.3
2415.0,133.0,1587.0,3.2,18.1
2416.0,147.0,1594.9,3.9,17.5
2417.0,300.0,1602.1,4.7,17.0
2418.0,300.0,1595.5,5.5,15.9
2419.0,203.0,1586.7,3.7,17.5
2420.0,203.0,1580.2,4.0,17.2
2421.0,182.0,1588.3,3.8,17.6
2422.0,132.0,1595.8,4.7,16.4
2423.0,128.0,1588.6,2.8,18.4
2424.0,142.0,1594.8,4.8,16.6
2425.0,119.0,1600.6,2.8,18.3
2426.0,76.0,1595.2,4.0,17.5
2427.0,300.0,1602.1,3.5,17.9
2428.0,189.0,1594.7,4.4,16.9
2429.0,278.0,1588.8,4.4,17.1
2430.0,137.0,1595.8,4.5,16.6
2431.0,176.0,1588.3,5.0,16.7
2432.0,207.0,1595.9,4.1,17.3
2433.0,200.0,1588.7,4.3,17.0
2434.0,143.0,1582.0,3.9,17.5
2435.0,220.0,1574.8,3.6,17.8
2436.0,183.0,1582.0,3.0,18.3
2437.0,132.0,1589.6,5.0,16.5
2438.0,143.0,1581.2,4.1,17.4
2439.0,175.0,1573.1,4.1,17.3
2440.0,300.0,1566.8,4.9,16.5
2441.0,109.0,1560.3,4.0,17.2
2442.0,225.0,1568.2,4.3,17.2
2443.0,114.0,1575.3,2.9,18.4
2444.0,192.0,1568.6,3.3,17.8
2445.0,300.0,1575.8,4.2,17.0
2446.0,300.0,1584.1,4.2,17.2
2447.0,86.0,1582.9,4.2,16.9
2448.0,129.0,1582.1,3.3,17.9
2449.0,162.0,1591.2,4.3,16.9
2450.0,221.0,1598.0,5.2,16.6
2451.0,300.0,1591.0,3.3,17.9
2452.0,300.0,1585.9,4.7,16.7
2453.0,198.0,1586.8,3.8,17.7
2454.0,199.0,1591.0,4.8,16.5
2455.0,300.0,1584.4,4.4,17.1
2456.0,300.0,1593.2,4.6,16.8
2457.0,93.0,1600.2,3.5,17.8
2458.0,300.0,1593.0,4.4,17.0
2459.0,300.0,1600.8,5.0,16.5
2460.0,110.0,1609.3,4.3,17.1
2461.0,172.0,1602.8,3.8,17.4
2462.0,293.0,1608.6,3.8,17.6
2463.0,300.0,1616.2,4.0,17.5
2464.0,220.0,1623.5,4.1,17.3
2465.0,300.0,1623.5,4.0,17.5
2466.0,150.0,1616.3,4.8,16.6
2467.0,234.0,1616.1,4.1,17.2
2468.0,170.0,1607.7,4.7,16.7
2469.0,300.0,1613.3,5.4,16.0
2470.0,191.0,1607.2,3.7,17.7
2471.0,106.0,1614.6,3.9,17.6
2472.0,206.0,1621.3,4.9,16.5
2473.0,233.0,1613.9,4.8,16.5
2474.0,300.0,1620.0,4.5,16.9
2475.0,109.0,1626.1,3.8,17.6
2476.0,231.0,1633.7,4.8,16.7
2477.0,153.0,1625.9,3.9,17.5
2478.0,95.0,1632.6,3.7,17.7
2479.0,195.0,1625.5,4.3,16.9
2480.0,109.0,1617.8,4.0,17.4
2481.0,107.0,1625.1,4.4,16.9
2482.0,195.0,1614.9,4.8,16.8
2483.0,178.0,1621.8,4.1,17.5
2484.0,119.0,1613.6,3.9,17.3
2485.0,221.0,1606.0,4.4,17.1
2486.0,125.0,1612.1,4.2,17.3
2487.0,300.0,1603.8,3.8,17.5
2488.0,214.0,1597.1,4.7,16.9
2489.0,118.0,1597.6,4.1,17.5
2490.0,234.0,1604.0,4.3,17.1
2491.0,153.0,1597.6,3.9,17.5
2492.0,230.0,1604.8,4.2,17.2
2493.0,92.0,1598.2,3.3,17.8
2494.0,300.0,1592.4,4.0,17.2
2495.0,143.0,1598.1,3.9,17.2
2496.0,300.0,1606.6,4.3,17.2
2497.0,170.0,1611.5,3.8,17.5
2498.0,111.0,1604.3,5.0,16.2
2499.0,300.0,1597.4,5.6,16.0
2500.0,113.0,1603.7,3.1,18.3
2501.0,300.0,1595.9,4.8,16.5
2502.0,130.0,1600.6,5.0,16.2
2503.0,141.0,1604.5,4.4,17.1
2504.0,300.0,1597.1,3.5,17.8
2505.0,206.0,1604.1,4.6,16.7
2506.0,154.0,1596.2,3.7,17.6
2507.0,300.0,1589.1,4.5,16.9
2508.0,225.0,1582.3,3.6,17.7
2509.0,186.0,1590.6,4.6,16.8
2510.0,300.0,1598.3,4.3,17.0
2511.0,249.0,1591.1,4.8,16.8
2512.0,300.0,1596.8,5.3,16.1
2513.0,135.0,1603.7,3.8,17.5
2514.0,243.0,1611.0,5.2,16.2
2515.0,145.0,1619.8,3.8,17.7
2516.0,215.0,1625.9,3.8,17.5
2517.0,213.0,1617.5,4.9,16.6
2518.0,157.0,1610.2,3.5,17.8
