# GameN, gameLength, gameElo
393.0,165.0,1864.0
394.0,94.0,1877.2
395.0,106.0,1888.5
396.0,199.0,1878.0
397.0,123.0,1889.5
398.0,148.0,1880.1
399.0,120.0,1881.9
400.0,117.0,1872.1
401.0,74.0,1862.9
402.0,139.0,1875.5
403.0,121.0,1864.3
404.0,124.0,1875.6
405.0,140.0,1864.8
406.0,99.0,1854.7
407.0,192.0,1843.6
408.0,106.0,1857.2
409.0,88.0,1867.5
410.0,117.0,1858.1
411.0,125.0,1848.2
412.0,118.0,1860.0
413.0,132.0,1851.9
414.0,73.0,1843.3
415.0,124.0,1834.2
416.0,154.0,1847.0
417.0,94.0,1860.7
418.0,107.0,1872.2
419.0,133.0,1861.0
420.0,95.0,1850.1
421.0,142.0,1843.0
422.0,105.0,1854.5
423.0,119.0,1854.7
424.0,114.0,1866.3
425.0,66.0,1857.5
426.0,139.0,1857.6
427.0,121.0,1868.5
428.0,73.0,1859.8
429.0,153.0,1873.3
430.0,203.0,1881.7
431.0,121.0,1893.5
432.0,112.0,1903.8
433.0,126.0,1913.9
434.0,270.0,1927.2
435.0,97.0,1905.4
436.0,98.0,1915.9
437.0,188.0,1902.1
438.0,195.0,1911.2
439.0,119.0,1900.4
440.0,99.0,1887.4
441.0,190.0,1877.2
442.0,96.0,1887.6
443.0,143.0,1897.2
444.0,165.0,1906.6
445.0,109.0,1906.7
446.0,57.0,1894.9
447.0,131.0,1882.3
448.0,195.0,1894.3
449.0,89.0,1905.9
450.0,187.0,1905.3
451.0,155.0,1895.2
452.0,118.0,1906.4
453.0,145.0,1919.4
454.0,104.0,1907.5
455.0,101.0,1917.0
456.0,196.0,1902.2
457.0,128.0,1914.3
458.0,138.0,1902.7
459.0,84.0,1914.4
460.0,150.0,1924.8
461.0,170.0,1913.0
462.0,169.0,1900.3
463.0,93.0,1913.0
464.0,110.0,1901.7
465.0,84.0,1912.4
466.0,170.0,1921.7
467.0,78.0,1930.5
468.0,75.0,1939.7
469.0,82.0,1926.9
470.0,129.0,1938.8
471.0,103.0,1947.2
472.0,124.0,1953.6
473.0,95.0,1964.2
474.0,276.0,1971.5
475.0,273.0,1957.3
476.0,87.0,1946.3
477.0,86.0,1955.6
478.0,126.0,1941.5
479.0,136.0,1951.7
480.0,120.0,1939.1
481.0,277.0,1950.2
482.0,97.0,1938.2
483.0,67.0,1926.0
484.0,82.0,1936.1
485.0,161.0,1925.7
486.0,102.0,1935.1
487.0,91.0,1925.1
488.0,108.0,1911.7
489.0,132.0,1921.3
490.0,110.0,1932.4
491.0,132.0,1942.7
492.0,122.0,1932.1
493.0,168.0,1920.7
494.0,89.0,1911.5
495.0,103.0,1899.0
496.0,97.0,1887.0
497.0,69.0,1899.1
498.0,71.0,1907.8
499.0,84.0,1897.8
500.0,142.0,1888.5
501.0,119.0,1877.1
502.0,78.0,1867.6
503.0,107.0,1878.2
504.0,67.0,1869.4
505.0,98.0,1879.5
506.0,147.0,1890.7
507.0,124.0,1903.4
508.0,114.0,1914.3
509.0,97.0,1902.3
510.0,98.0,1912.5
511.0,172.0,1923.8
512.0,100.0,1909.5
513.0,117.0,1919.1
514.0,223.0,1930.5
515.0,95.0,1919.6
516.0,103.0,1918.1
517.0,82.0,1925.4
518.0,92.0,1912.5
519.0,109.0,1924.8
520.0,144.0,1932.4
521.0,72.0,1920.0
522.0,121.0,1907.5
523.0,109.0,1917.1
524.0,111.0,1926.4
525.0,93.0,1914.2
526.0,81.0,1924.5
527.0,113.0,1931.8
528.0,186.0,1942.0
529.0,119.0,1951.1
530.0,125.0,1957.2
531.0,113.0,1967.8
532.0,153.0,1955.7
533.0,115.0,1943.5
534.0,118.0,1952.1
535.0,105.0,1960.6
536.0,71.0,1947.9
537.0,224.0,1957.7
538.0,103.0,1967.9
539.0,70.0,1954.7
540.0,78.0,1943.3
541.0,112.0,1930.4
542.0,50.0,1940.7
543.0,107.0,1949.9
544.0,132.0,1959.1
545.0,117.0,1969.1
546.0,123.0,1977.0
547.0,143.0,1984.4
548.0,94.0,1984.5
549.0,236.0,1970.8
550.0,85.0,1976.7
551.0,114.0,1963.4
552.0,89.0,1972.0
553.0,93.0,1959.3
554.0,163.0,1967.8
555.0,266.0,1974.9
556.0,102.0,1960.0
557.0,94.0,1969.4
558.0,136.0,1957.5
559.0,93.0,1945.3
560.0,186.0,1954.8
561.0,136.0,1962.7
562.0,85.0,1970.7
563.0,93.0,1957.8
564.0,122.0,1965.4
565.0,114.0,1972.7
566.0,201.0,1961.2
567.0,132.0,1968.8
568.0,103.0,1968.0
569.0,109.0,1956.6
570.0,121.0,1944.6
571.0,173.0,1951.3
572.0,191.0,1961.2
573.0,117.0,1969.4
574.0,159.0,1959.2
575.0,107.0,1948.5
576.0,115.0,1947.9
577.0,214.0,1957.9
578.0,147.0,1966.1
579.0,117.0,1975.2
580.0,148.0,1982.2
581.0,123.0,1979.2
582.0,146.0,1985.9
583.0,83.0,1975.5
584.0,109.0,1984.4
585.0,76.0,1973.0
586.0,185.0,1958.5
587.0,103.0,1967.0
588.0,74.0,1957.5
589.0,113.0,1946.3
590.0,106.0,1955.3
591.0,172.0,1945.1
592.0,101.0,1953.7
593.0,137.0,1942.9
594.0,149.0,1952.5
595.0,61.0,1961.0
596.0,83.0,1950.4
597.0,112.0,1957.8
598.0,65.0,1966.5
599.0,93.0,1977.6
600.0,94.0,1988.1
601.0,116.0,1975.6
602.0,146.0,1962.9
603.0,128.0,1970.6
604.0,237.0,1957.1
605.0,184.0,1964.2
606.0,123.0,1974.0
607.0,105.0,1981.1
608.0,69.0,1967.7
609.0,147.0,1956.2
610.0,87.0,1965.2
611.0,83.0,1955.8
612.0,101.0,1967.0
613.0,144.0,1954.2
614.0,167.0,1944.4
615.0,212.0,1935.5
616.0,157.0,1924.1
617.0,122.0,1936.1
618.0,102.0,1947.5
619.0,85.0,1957.2
620.0,114.0,1965.6
621.0,138.0,1974.2
622.0,185.0,1963.9
623.0,143.0,1952.3
624.0,105.0,1961.3
625.0,144.0,1970.9
626.0,166.0,1959.1
627.0,142.0,1967.7
628.0,188.0,1977.8
629.0,119.0,1964.8
630.0,89.0,1975.2
631.0,94.0,1964.6
632.0,105.0,1954.6
633.0,98.0,1965.1
634.0,131.0,1975.3
635.0,109.0,1962.8
636.0,64.0,1953.0
637.0,291.0,1962.8
638.0,177.0,1953.1
639.0,105.0,1950.9
640.0,131.0,1941.3
641.0,142.0,1952.3
642.0,77.0,1943.0
643.0,119.0,1929.9
644.0,89.0,1921.0
645.0,145.0,1932.7
646.0,109.0,1942.5
647.0,149.0,1933.5
648.0,133.0,1941.1
649.0,109.0,1929.0
650.0,139.0,1938.0
651.0,156.0,1949.3
652.0,132.0,1957.4
653.0,132.0,1967.7
654.0,158.0,1975.5
655.0,139.0,1983.2
656.0,102.0,1992.5
657.0,124.0,2001.0
658.0,95.0,2008.1
659.0,134.0,2014.5
660.0,108.0,2020.8
661.0,101.0,2028.3
662.0,58.0,2017.1
663.0,127.0,2021.4
664.0,120.0,2009.8
665.0,97.0,2017.0
666.0,104.0,2026.1
667.0,180.0,2032.7
668.0,109.0,2038.4
669.0,162.0,2042.1
670.0,130.0,2028.1
671.0,104.0,2013.5
672.0,133.0,2020.1
673.0,71.0,2027.6
674.0,120.0,2035.9
675.0,126.0,2040.7
676.0,122.0,2045.8
677.0,134.0,2033.6
678.0,146.0,2039.6
679.0,140.0,2047.8
680.0,117.0,2053.3
681.0,170.0,2058.6
682.0,79.0,2045.3
683.0,108.0,2031.0
684.0,74.0,2037.2
685.0,157.0,2025.6
686.0,284.0,2014.6
687.0,131.0,2001.4
688.0,103.0,1987.8
689.0,104.0,1994.8
690.0,104.0,1986.4
691.0,157.0,1995.3
692.0,62.0,2001.2
693.0,73.0,1988.5
694.0,167.0,1977.6
695.0,70.0,1967.7
696.0,134.0,1960.3
697.0,117.0,1967.8
698.0,154.0,1977.7
699.0,119.0,1966.4
700.0,147.0,1977.5
701.0,195.0,1968.6
702.0,185.0,1977.5
703.0,86.0,1985.1
704.0,80.0,1972.8
705.0,81.0,1981.3
706.0,176.0,1991.9
707.0,105.0,1984.1
708.0,112.0,1971.6
709.0,123.0,1962.1
710.0,276.0,1970.9
711.0,104.0,1980.4
712.0,256.0,1986.3
713.0,136.0,1994.4
714.0,88.0,1992.7
715.0,151.0,1983.4
716.0,88.0,1990.5
717.0,101.0,1997.5
718.0,104.0,2007.6
719.0,114.0,1994.3
720.0,64.0,2003.2
721.0,103.0,2010.3
722.0,116.0,2016.4
723.0,141.0,2027.5
724.0,129.0,2034.8
725.0,118.0,2040.2
726.0,189.0,2048.4
727.0,74.0,2034.5
728.0,156.0,2043.1
729.0,131.0,2048.8
730.0,86.0,2055.9
731.0,128.0,2065.6
732.0,118.0,2074.7
733.0,111.0,2061.1
734.0,76.0,2050.9
735.0,175.0,2039.5
736.0,138.0,2044.8
737.0,241.0,2050.0
738.0,93.0,2055.0
739.0,110.0,2043.4
740.0,107.0,2051.6
741.0,94.0,2041.1
742.0,157.0,2027.9
743.0,177.0,2033.7
744.0,146.0,2038.6
745.0,112.0,2043.2
746.0,121.0,2029.6
747.0,106.0,2017.1
748.0,93.0,2022.7
749.0,65.0,2028.5
750.0,168.0,2015.6
751.0,88.0,2020.6
752.0,78.0,2010.6
753.0,116.0,2000.2
754.0,98.0,1991.4
755.0,86.0,1998.5
756.0,111.0,2008.8
757.0,176.0,2018.6
758.0,98.0,2016.9
759.0,112.0,2005.2
760.0,107.0,1995.4
761.0,113.0,2003.2
762.0,90.0,2013.0
763.0,74.0,2004.1
764.0,118.0,2011.4
765.0,82.0,2022.0
766.0,102.0,2017.8
767.0,80.0,2026.9
768.0,140.0,2027.4
769.0,183.0,2032.8
770.0,184.0,2038.9
771.0,129.0,2028.1
772.0,168.0,2017.7
773.0,103.0,2004.9
774.0,111.0,2011.6
775.0,130.0,2002.0
776.0,113.0,2011.8
777.0,143.0,2002.0
778.0,106.0,2010.1
779.0,136.0,2000.5
780.0,95.0,1987.5
781.0,132.0,1978.8
782.0,111.0,1985.6
783.0,91.0,1976.5
784.0,114.0,1967.9
785.0,124.0,1975.3
786.0,155.0,1981.1
787.0,114.0,1988.3
788.0,98.0,1977.5
789.0,103.0,1965.1
790.0,127.0,1957.2
791.0,82.0,1948.6
792.0,136.0,1959.7
793.0,190.0,1951.6
794.0,101.0,1943.9
795.0,224.0,1932.4
796.0,142.0,1939.0
797.0,105.0,1948.9
798.0,130.0,1956.4
799.0,132.0,1966.1
800.0,141.0,1974.2
801.0,108.0,1981.1
802.0,138.0,1972.0
803.0,84.0,1958.7
804.0,98.0,1965.7
805.0,105.0,1976.1
806.0,141.0,1987.3
807.0,80.0,1976.9
808.0,102.0,1967.4
809.0,119.0,1974.0
810.0,212.0,1984.7
811.0,142.0,1974.6
812.0,155.0,1983.3
813.0,150.0,1991.1
814.0,119.0,1981.6
815.0,111.0,1990.2
816.0,178.0,1976.9
817.0,107.0,1983.6
818.0,254.0,1991.7
819.0,85.0,1982.3
820.0,106.0,1972.9
821.0,93.0,1960.9
822.0,149.0,1972.1
823.0,150.0,1981.4
824.0,111.0,1991.1
825.0,69.0,2001.0
826.0,144.0,2008.4
827.0,108.0,2018.0
828.0,128.0,2007.8
829.0,293.0,1998.2
830.0,97.0,2004.9
831.0,158.0,1993.9
832.0,164.0,2000.0
833.0,131.0,1991.1
834.0,116.0,1982.7
835.0,115.0,1972.7
836.0,121.0,1983.5
837.0,125.0,1991.0
838.0,143.0,1980.1
839.0,94.0,1986.3
840.0,67.0,1978.4
841.0,153.0,1987.4
842.0,141.0,1979.7
843.0,147.0,1985.6
844.0,135.0,1973.8
845.0,168.0,1983.5
846.0,82.0,1972.0
847.0,159.0,1978.3
848.0,213.0,1966.3
849.0,147.0,1958.6
850.0,152.0,1969.2
851.0,112.0,1977.9
852.0,178.0,1969.3
853.0,152.0,1979.7
854.0,81.0,1970.2
855.0,172.0,1959.5
856.0,127.0,1950.8
857.0,74.0,1943.4
858.0,107.0,1931.7
859.0,251.0,1923.0
860.0,151.0,1934.6
861.0,194.0,1945.0
862.0,137.0,1937.3
863.0,174.0,1929.6
864.0,180.0,1939.6
865.0,165.0,1949.7
866.0,103.0,1942.5
867.0,98.0,1942.3
868.0,115.0,1953.3
869.0,129.0,1945.0
870.0,119.0,1938.1
871.0,126.0,1944.6
872.0,130.0,1935.8
873.0,121.0,1937.0
874.0,130.0,1928.9
875.0,150.0,1937.7
876.0,93.0,1931.0
877.0,179.0,1922.0
878.0,107.0,1934.5
879.0,143.0,1942.9
880.0,96.0,1952.3
881.0,121.0,1953.7
882.0,125.0,1961.7
883.0,138.0,1953.1
884.0,134.0,1945.1
885.0,159.0,1956.7
886.0,154.0,1947.1
887.0,101.0,1939.3
888.0,153.0,1951.1
889.0,73.0,1942.2
890.0,102.0,1934.4
891.0,106.0,1946.0
892.0,117.0,1955.2
893.0,113.0,1964.0
894.0,140.0,1955.7
895.0,240.0,1961.6
896.0,106.0,1952.7
897.0,143.0,1963.2
898.0,137.0,1951.3
899.0,122.0,1959.1
900.0,144.0,1966.7
901.0,217.0,1977.6
902.0,142.0,1977.4
903.0,203.0,1969.4
904.0,233.0,1980.2
905.0,158.0,1989.2
906.0,129.0,1999.7
907.0,90.0,1997.0
908.0,111.0,1985.7
909.0,199.0,1995.3
910.0,109.0,2001.2
911.0,103.0,1991.5
912.0,117.0,1997.9
913.0,208.0,1997.6
914.0,219.0,2004.8
915.0,165.0,1995.8
916.0,94.0,1983.4
917.0,109.0,1990.1
918.0,100.0,1980.3
919.0,84.0,1990.3
920.0,215.0,1996.2
921.0,107.0,2005.0
922.0,218.0,2011.0
923.0,63.0,2001.6
924.0,160.0,2009.1
925.0,53.0,2017.1
926.0,126.0,2023.1
927.0,106.0,2010.0
928.0,175.0,2001.4
929.0,149.0,2008.5
930.0,166.0,2004.0
931.0,99.0,2009.0
932.0,129.0,1996.5
933.0,171.0,2004.9
934.0,141.0,1996.2
935.0,153.0,2003.7
936.0,114.0,2009.7
937.0,251.0,2018.8
938.0,221.0,2025.2
939.0,213.0,2014.4
940.0,166.0,2003.1
941.0,159.0,1994.1
942.0,119.0,2000.5
943.0,215.0,1991.3
944.0,68.0,1999.8
945.0,98.0,2009.0
946.0,146.0,2015.7
947.0,137.0,2002.2
948.0,110.0,1993.2
949.0,175.0,2000.1
950.0,143.0,1987.8
951.0,143.0,1976.0
952.0,187.0,1983.3
953.0,128.0,1993.7
954.0,125.0,2001.8
955.0,141.0,2010.8
956.0,142.0,2000.6
957.0,104.0,2006.8
958.0,116.0,2015.5
959.0,113.0,2012.1
960.0,195.0,2000.4
961.0,100.0,2006.2
962.0,171.0,2014.8
963.0,158.0,2023.9
964.0,92.0,2014.4
965.0,137.0,2003.5
966.0,72.0,2012.5
967.0,90.0,2017.8
968.0,272.0,2008.7
969.0,114.0,1997.0
970.0,84.0,1986.0
971.0,51.0,1992.4
972.0,79.0,1982.3
973.0,164.0,1990.2
974.0,102.0,1981.8
975.0,117.0,1981.1
976.0,133.0,1972.6
977.0,131.0,1979.8
978.0,198.0,1988.9
979.0,128.0,1997.1
980.0,88.0,1989.0
981.0,115.0,1997.1
982.0,147.0,2003.0
983.0,114.0,2012.3
984.0,205.0,2002.3
985.0,131.0,1999.7
986.0,137.0,2006.1
987.0,147.0,2013.8
988.0,156.0,2004.8
989.0,93.0,2012.2
990.0,86.0,2019.1
991.0,101.0,2009.6
992.0,131.0,2015.3
993.0,89.0,2023.9
994.0,103.0,2020.4
995.0,87.0,2028.3
996.0,114.0,2018.1
997.0,119.0,2023.5
998.0,121.0,2027.1
999.0,172.0,2036.1
1000.0,103.0,2042.9
1001.0,184.0,2033.5
1002.0,136.0,2022.5
1003.0,76.0,2029.5
1004.0,150.0,2019.8
1005.0,101.0,2008.6
