# GameN, gameLength, gameElo, minBase, dinBase
2055.0,300.0,1995.8,4.3,17.1
2056.0,300.0,1989.8,4.2,17.2
2057.0,300.0,1991.6,4.9,16.5
2058.0,154.0,1983.0,4.1,17.3
2059.0,191.0,1977.9,4.6,16.9
2060.0,194.0,1971.3,5.1,16.3
2061.0,141.0,1972.0,4.9,16.5
2062.0,256.0,1980.3,5.6,16.1
2063.0,177.0,1970.7,5.0,16.2
2064.0,196.0,1975.3,3.7,17.6
2065.0,244.0,1983.6,4.0,17.3
2066.0,249.0,1991.2,3.8,17.5
2067.0,169.0,1984.9,4.6,17.0
2068.0,112.0,1977.4,3.6,17.7
2069.0,177.0,1987.1,4.8,16.7
2070.0,139.0,1988.2,4.2,17.2
2071.0,300.0,1982.1,5.3,16.1
2072.0,163.0,1991.4,4.4,17.1
2073.0,300.0,1983.6,4.9,16.4
2074.0,300.0,1984.2,5.7,15.8
2075.0,275.0,1981.7,4.8,16.8
2076.0,300.0,1988.4,4.3,17.0
2077.0,300.0,1996.8,3.9,17.3
2078.0,217.0,1991.2,2.8,18.3
2079.0,243.0,1997.6,4.0,17.4
2080.0,165.0,2004.6,4.7,16.8
2081.0,300.0,2009.7,4.6,16.9
2082.0,213.0,2012.2,4.4,17.2
2083.0,191.0,2011.5,3.7,17.6
2084.0,155.0,2014.2,3.9,17.4
2085.0,117.0,2020.4,2.7,18.5
2086.0,256.0,2028.5,4.4,17.0
2087.0,300.0,2036.7,4.5,17.0
2088.0,212.0,2040.1,4.1,17.2
2089.0,300.0,2045.3,5.9,15.6
2090.0,112.0,2052.4,3.1,18.1
2091.0,191.0,2054.7,3.5,17.8
2092.0,195.0,2062.1,4.8,16.7
2093.0,300.0,2062.8,4.4,17.1
2094.0,300.0,2069.5,5.9,15.6
2095.0,300.0,2067.6,4.7,16.7
2096.0,202.0,2069.3,6.0,15.6
2097.0,186.0,2061.0,4.1,17.5
2098.0,194.0,2065.9,4.1,17.4
2099.0,170.0,2069.8,5.0,16.6
2100.0,300.0,2072.7,4.4,16.9
2101.0,300.0,2073.9,4.3,17.1
2102.0,300.0,2065.7,5.1,16.3
2103.0,198.0,2058.5,4.8,16.6
2104.0,167.0,2065.9,4.2,17.2
2105.0,300.0,2068.5,5.0,16.6
2106.0,212.0,2072.2,4.7,16.7
2107.0,178.0,2065.0,3.8,17.4
2108.0,300.0,2067.5,4.9,16.7
2109.0,300.0,2070.0,5.2,16.4
2110.0,237.0,2062.4,4.5,17.1
2111.0,300.0,2063.7,4.9,16.6
2112.0,226.0,2067.8,4.7,16.7
2113.0,206.0,2061.6,4.4,17.0
2114.0,117.0,2064.2,5.6,15.9
2115.0,300.0,2066.3,4.5,17.0
2116.0,86.0,2072.0,3.7,17.8
2117.0,223.0,2070.3,5.8,15.8
2118.0,149.0,2061.7,4.2,17.0
2119.0,227.0,2064.3,4.3,17.1
2120.0,300.0,2065.0,4.5,16.9
2121.0,300.0,2071.0,4.9,16.6
2122.0,300.0,2078.0,4.7,16.8
2123.0,300.0,2085.6,5.1,16.4
2124.0,125.0,2092.2,2.9,18.4
2125.0,143.0,2097.4,3.9,17.5
2126.0,253.0,2103.7,5.0,16.7
2127.0,222.0,2110.5,4.1,17.3
2128.0,300.0,2102.9,3.9,17.6
2129.0,300.0,2093.7,4.5,16.8
2130.0,132.0,2085.9,3.6,17.6
2131.0,185.0,2076.5,3.5,17.8
2132.0,116.0,2079.9,2.9,18.4
2133.0,300.0,2081.9,3.3,18.0
2134.0,132.0,2073.3,3.0,18.2
2135.0,300.0,2068.4,4.0,17.4
2136.0,233.0,2070.3,4.2,17.2
2137.0,229.0,2071.1,3.9,17.7
2138.0,300.0,2063.5,4.5,16.9
2139.0,174.0,2056.4,4.0,17.3
2140.0,111.0,2057.4,4.7,16.6
2141.0,192.0,2065.4,4.2,17.1
2142.0,157.0,2072.3,3.4,17.9
2143.0,159.0,2079.8,4.5,16.9
2144.0,177.0,2084.1,3.9,17.5
2145.0,218.0,2084.6,4.5,17.0
2146.0,280.0,2085.8,3.8,17.6
2147.0,167.0,2088.0,5.4,16.3
2148.0,300.0,2096.3,5.5,16.0
2149.0,300.0,2087.6,6.1,15.5
2150.0,300.0,2083.9,6.1,15.5
2151.0,167.0,2081.3,5.4,16.4
2152.0,200.0,2084.2,3.9,17.6
2153.0,122.0,2089.8,3.5,17.8
2154.0,262.0,2095.1,5.1,16.5
2155.0,300.0,2087.3,4.2,17.2
2156.0,300.0,2092.8,5.0,16.5
2157.0,171.0,2099.5,5.0,16.3
2158.0,109.0,2088.3,5.0,16.9
2159.0,153.0,2093.5,3.8,17.5
2160.0,146.0,2095.1,4.5,16.9
2161.0,300.0,2100.7,3.8,17.6
2162.0,300.0,2102.2,4.3,17.0
2163.0,300.0,2101.4,4.9,16.5
2164.0,261.0,2097.0,4.0,17.5
2165.0,143.0,2093.0,5.4,16.0
2166.0,250.0,2085.4,4.6,17.0
2167.0,300.0,2076.8,4.8,16.5
2168.0,160.0,2069.7,5.0,16.7
2169.0,300.0,2072.6,4.7,16.9
2170.0,154.0,2073.2,3.7,17.6
2171.0,96.0,2071.4,4.0,17.4
2172.0,137.0,2075.6,4.8,16.6
2173.0,211.0,2082.0,4.7,16.6
2174.0,300.0,2084.8,5.0,16.5
2175.0,300.0,2090.3,5.3,16.3
2176.0,300.0,2095.4,5.2,16.4
2177.0,202.0,2092.5,4.2,17.4
2178.0,186.0,2099.2,5.0,16.4
2179.0,240.0,2086.0,5.2,16.4
2180.0,115.0,2089.2,3.7,17.8
2181.0,202.0,2096.8,5.7,15.9
2182.0,165.0,2097.4,4.8,16.6
2183.0,154.0,2087.8,4.0,17.3
2184.0,224.0,2091.0,4.4,17.1
2185.0,218.0,2095.9,3.9,17.4
2186.0,195.0,2100.1,4.7,16.7
2187.0,170.0,2091.9,4.0,17.4
2188.0,177.0,2093.0,4.9,16.6
2189.0,199.0,2093.2,4.0,17.4
2190.0,245.0,2100.2,3.9,17.5
2191.0,271.0,2105.1,3.8,17.7
2192.0,156.0,2096.4,4.5,17.1
2193.0,222.0,2087.0,4.3,17.4
2194.0,238.0,2077.7,3.8,17.6
2195.0,264.0,2068.2,4.1,17.2
2196.0,199.0,2075.6,4.3,17.2
2197.0,300.0,2082.7,5.1,16.4
2198.0,300.0,2072.3,5.8,15.8
2199.0,193.0,2079.0,4.0,17.3
2200.0,300.0,2069.2,5.2,16.3
2201.0,204.0,2074.9,4.2,17.2
2202.0,165.0,2071.7,5.4,16.0
2203.0,271.0,2073.7,4.6,16.9
2204.0,167.0,2079.5,3.5,17.8
2205.0,160.0,2071.0,3.1,18.2
2206.0,231.0,2076.9,4.7,16.8
2207.0,182.0,2070.2,5.3,16.3
2208.0,167.0,2074.4,4.6,16.8
2209.0,232.0,2078.8,5.5,16.0
2210.0,300.0,2069.0,4.6,16.8
2211.0,192.0,2076.2,5.6,15.8
2212.0,242.0,2082.1,5.0,16.6
2213.0,175.0,2087.8,5.7,15.7
2214.0,300.0,2091.3,5.0,16.6
2215.0,164.0,2096.5,4.7,16.7
2216.0,181.0,2087.7,4.4,16.9
2217.0,232.0,2075.7,4.7,16.9
2218.0,146.0,2065.8,4.3,17.2
2219.0,300.0,2070.3,5.7,15.9
2220.0,149.0,2076.1,4.7,16.8
2221.0,210.0,2081.0,4.4,17.1
2222.0,237.0,2073.5,4.3,17.1
2223.0,162.0,2063.1,4.3,17.1
2224.0,236.0,2056.0,4.4,17.1
2225.0,110.0,2044.5,4.1,17.3
2226.0,240.0,2048.5,4.6,16.9
2227.0,199.0,2051.0,5.5,16.2
2228.0,241.0,2059.4,5.1,16.3
2229.0,205.0,2063.2,4.4,17.1
2230.0,300.0,2053.3,5.4,16.1
2231.0,218.0,2060.1,4.5,16.9
2232.0,238.0,2053.3,5.6,15.9
2233.0,178.0,2057.1,3.4,17.9
2234.0,221.0,2064.9,4.7,16.8
2235.0,245.0,2067.7,4.5,16.9
2236.0,300.0,2072.8,4.9,16.5
2237.0,162.0,2065.4,5.1,16.4
2238.0,300.0,2058.6,4.0,17.4
2239.0,133.0,2066.2,4.7,16.6
2240.0,260.0,2072.1,4.1,17.4
2241.0,169.0,2073.9,4.0,17.3
2242.0,260.0,2067.0,6.0,15.5
2243.0,300.0,2069.5,4.5,16.9
2244.0,220.0,2074.2,3.9,17.5
2245.0,132.0,2073.9,4.4,17.0
2246.0,197.0,2075.8,4.3,17.1
2247.0,170.0,2077.5,4.7,16.8
2248.0,277.0,2079.4,5.3,16.3
2249.0,174.0,2084.6,4.6,16.8
2250.0,300.0,2090.0,4.5,16.9
2251.0,158.0,2091.1,3.1,18.1
2252.0,248.0,2094.4,5.4,16.1
2253.0,140.0,2097.0,3.9,17.6
2254.0,259.0,2103.4,4.5,17.0
2255.0,228.0,2105.5,3.9,17.5
