# GameN, gameLength, gameElo
542.0,267.0,985.5
543.0,286.0,972.5
544.0,268.0,963.7
545.0,300.0,971.1
546.0,126.0,962.7
547.0,300.0,972.7
548.0,118.0,961.4
549.0,103.0,953.9
550.0,71.0,945.1
551.0,300.0,938.5
552.0,300.0,930.2
553.0,216.0,934.0
554.0,300.0,922.9
555.0,138.0,913.7
556.0,300.0,925.8
557.0,300.0,937.8
558.0,300.0,949.5
559.0,300.0,951.1
560.0,300.0,961.9
561.0,160.0,951.9
562.0,264.0,962.4
563.0,150.0,953.3
564.0,147.0,944.8
565.0,185.0,955.3
566.0,300.0,963.9
567.0,166.0,973.9
568.0,70.0,964.9
569.0,300.0,956.0
570.0,124.0,948.0
571.0,110.0,941.2
572.0,300.0,950.0
573.0,123.0,960.9
574.0,300.0,954.2
575.0,300.0,964.7
576.0,300.0,973.6
577.0,129.0,975.1
578.0,188.0,986.7
579.0,103.0,996.2
580.0,300.0,986.2
581.0,300.0,994.4
582.0,300.0,983.2
583.0,49.0,982.0
584.0,300.0,974.6
585.0,300.0,964.9
586.0,300.0,964.4
587.0,79.0,974.1
588.0,82.0,963.9
589.0,300.0,972.4
590.0,300.0,961.6
591.0,300.0,952.1
592.0,300.0,962.5
593.0,300.0,974.4
594.0,99.0,983.7
595.0,171.0,976.4
596.0,266.0,986.8
597.0,126.0,977.4
598.0,300.0,969.2
599.0,300.0,960.3
600.0,300.0,961.9
601.0,61.0,960.2
602.0,198.0,960.0
603.0,86.0,951.7
604.0,102.0,963.0
605.0,63.0,955.6
606.0,300.0,945.7
607.0,300.0,935.6
608.0,130.0,936.1
609.0,300.0,936.6
610.0,70.0,925.4
611.0,133.0,926.5
612.0,196.0,916.7
613.0,300.0,909.5
614.0,300.0,919.4
615.0,300.0,933.4
616.0,64.0,944.8
617.0,186.0,938.2
618.0,300.0,948.0
619.0,300.0,940.9
620.0,300.0,941.3
621.0,300.0,943.2
622.0,152.0,942.2
623.0,105.0,936.3
624.0,108.0,927.3
625.0,300.0,918.9
626.0,140.0,928.1
627.0,65.0,922.5
628.0,65.0,916.4
629.0,300.0,907.7
630.0,90.0,919.0
631.0,83.0,923.8
632.0,193.0,932.6
633.0,69.0,942.6
634.0,121.0,933.9
635.0,300.0,924.3
636.0,76.0,917.0
637.0,78.0,907.8
638.0,300.0,919.9
639.0,300.0,932.8
640.0,300.0,932.2
641.0,300.0,930.8
642.0,300.0,941.4
643.0,300.0,940.8
644.0,111.0,951.0
645.0,88.0,952.3
646.0,247.0,945.4
647.0,70.0,937.7
648.0,300.0,927.7
649.0,300.0,918.9
650.0,300.0,932.5
651.0,80.0,924.0
652.0,118.0,935.2
653.0,300.0,944.6
654.0,300.0,955.3
655.0,300.0,945.6
656.0,170.0,945.8
657.0,300.0,944.9
658.0,122.0,956.3
659.0,300.0,948.5
660.0,197.0,937.7
661.0,300.0,937.9
662.0,300.0,928.1
663.0,300.0,918.3
664.0,295.0,922.9
665.0,144.0,933.3
666.0,300.0,943.2
667.0,300.0,953.4
668.0,66.0,952.6
669.0,300.0,962.4
670.0,300.0,971.6
671.0,91.0,970.3
672.0,300.0,979.6
673.0,300.0,988.6
674.0,300.0,996.6
675.0,139.0,986.3
676.0,158.0,977.4
677.0,300.0,969.4
678.0,180.0,979.8
679.0,283.0,979.7
680.0,300.0,992.6
681.0,280.0,981.0
682.0,300.0,973.8
683.0,239.0,965.9
684.0,275.0,976.7
685.0,211.0,966.5
686.0,219.0,959.1
687.0,126.0,968.5
688.0,300.0,961.4
689.0,300.0,968.8
690.0,300.0,959.6
691.0,141.0,968.9
692.0,300.0,977.9
693.0,300.0,969.1
694.0,69.0,972.4
695.0,300.0,981.3
696.0,86.0,973.5
697.0,300.0,962.5
698.0,300.0,952.4
699.0,67.0,962.9
700.0,157.0,952.3
701.0,300.0,962.9
702.0,300.0,971.7
703.0,300.0,962.1
704.0,300.0,975.2
705.0,291.0,984.8
706.0,300.0,975.4
707.0,44.0,964.3
708.0,81.0,963.0
709.0,300.0,952.7
710.0,300.0,945.4
711.0,300.0,945.8
712.0,300.0,945.8
713.0,300.0,937.8
714.0,300.0,948.5
715.0,127.0,958.8
716.0,270.0,967.7
717.0,300.0,977.6
718.0,277.0,970.8
719.0,300.0,981.7
720.0,300.0,989.4
721.0,183.0,998.5
722.0,74.0,996.8
723.0,219.0,1004.7
724.0,110.0,1011.5
725.0,300.0,1019.2
726.0,122.0,1008.0
727.0,300.0,1000.6
728.0,86.0,988.8
729.0,300.0,996.9
730.0,300.0,1002.9
731.0,240.0,993.1
732.0,300.0,1002.0
733.0,300.0,1009.7
734.0,121.0,1002.1
735.0,300.0,992.8
736.0,123.0,983.5
737.0,300.0,982.1
738.0,300.0,974.6
739.0,146.0,966.0
740.0,300.0,955.7
741.0,194.0,945.9
742.0,300.0,938.8
