# GameN, gameLength, gameElo
293.0,300.0,1353.7
294.0,238.0,1357.2
295.0,185.0,1352.7
296.0,95.0,1361.6
297.0,224.0,1370.4
298.0,235.0,1373.6
299.0,190.0,1383.4
300.0,110.0,1389.3
301.0,200.0,1396.0
302.0,118.0,1404.1
303.0,227.0,1406.5
304.0,86.0,1414.0
305.0,116.0,1419.2
306.0,291.0,1424.9
307.0,256.0,1432.2
308.0,300.0,1439.1
309.0,285.0,1441.4
310.0,129.0,1438.0
311.0,119.0,1418.7
312.0,176.0,1424.0
313.0,211.0,1407.2
314.0,193.0,1415.9
315.0,300.0,1403.6
316.0,176.0,1413.5
317.0,145.0,1402.0
318.0,300.0,1387.2
319.0,162.0,1400.0
320.0,300.0,1397.8
321.0,111.0,1384.2
322.0,85.0,1392.3
323.0,108.0,1399.1
324.0,133.0,1400.7
325.0,158.0,1405.9
326.0,140.0,1414.2
327.0,111.0,1420.0
328.0,130.0,1429.6
329.0,171.0,1434.5
330.0,300.0,1443.4
331.0,300.0,1447.5
332.0,77.0,1451.0
333.0,227.0,1445.2
334.0,145.0,1449.2
335.0,103.0,1453.0
336.0,144.0,1459.7
337.0,116.0,1440.9
338.0,300.0,1429.5
339.0,170.0,1419.0
340.0,135.0,1404.7
341.0,129.0,1414.6
342.0,130.0,1419.0
343.0,160.0,1429.7
344.0,219.0,1436.8
345.0,76.0,1448.4
346.0,126.0,1428.8
347.0,201.0,1432.5
348.0,216.0,1440.8
349.0,199.0,1446.1
350.0,141.0,1455.6
351.0,205.0,1461.3
352.0,147.0,1465.2
353.0,144.0,1448.0
354.0,141.0,1452.3
355.0,172.0,1457.0
356.0,137.0,1441.8
357.0,300.0,1443.9
358.0,180.0,1456.3
359.0,123.0,1468.0
360.0,86.0,1472.2
361.0,96.0,1480.5
362.0,133.0,1489.9
363.0,123.0,1492.1
364.0,222.0,1502.6
365.0,92.0,1503.9
366.0,127.0,1507.1
367.0,227.0,1511.8
368.0,161.0,1517.5
369.0,91.0,1520.8
370.0,138.0,1528.5
371.0,170.0,1533.3
372.0,160.0,1536.0
373.0,101.0,1516.4
374.0,183.0,1518.1
375.0,253.0,1505.8
376.0,228.0,1510.2
377.0,141.0,1517.1
378.0,254.0,1522.0
379.0,146.0,1528.4
380.0,209.0,1516.2
381.0,165.0,1524.1
382.0,159.0,1529.4
383.0,74.0,1538.3
384.0,188.0,1539.0
385.0,300.0,1527.6
386.0,109.0,1539.6
387.0,177.0,1544.8
388.0,151.0,1524.1
389.0,210.0,1528.8
390.0,94.0,1530.1
391.0,120.0,1541.5
392.0,119.0,1552.4
393.0,73.0,1536.5
394.0,135.0,1539.8
395.0,184.0,1548.1
396.0,300.0,1551.1
