# GameN, gameLength, gameElo, minBase, dinBase
262.0,143.0,1387.9,0.1,0.1
263.0,147.0,1378.6,0.1,0.1
264.0,78.0,1390.1,0.3,0.3
265.0,85.0,1402.1,0.2,0.3
266.0,124.0,1390.8,0.3,0.2
267.0,135.0,1393.1,0.2,0.2
268.0,106.0,1408.6,0.1,0.2
269.0,58.0,1396.9,0.2,0.2
270.0,116.0,1377.7,0.2,0.3
271.0,70.0,1384.2,0.2,0.2
272.0,180.0,1399.4,0.2,0.3
273.0,210.0,1411.3,0.2,0.2
274.0,125.0,1392.1,0.2,0.2
275.0,135.0,1403.0,0.2,0.3
276.0,100.0,1413.1,0.1,0.2
277.0,204.0,1428.0,0.1,0.2
278.0,104.0,1416.2,0.2,0.3
279.0,189.0,1429.3,0.1,0.2
280.0,199.0,1442.4,0.1,0.2
281.0,133.0,1452.0,0.2,0.3
282.0,198.0,1461.8,0.1,0.2
283.0,33.0,1448.5,0.4,0.3
284.0,119.0,1460.3,0.1,0.1
285.0,97.0,1472.9,0.2,0.2
286.0,168.0,1456.3,0.1,0.1
287.0,118.0,1468.0,0.2,0.2
288.0,69.0,1477.5,0.2,0.3
289.0,67.0,1464.9,0.2,0.1
290.0,200.0,1473.9,0.2,0.3
291.0,128.0,1484.5,0.2,0.1
292.0,95.0,1470.4,0.2,0.2
293.0,158.0,1479.3,0.2,0.2
294.0,122.0,1480.7,0.2,0.2
295.0,114.0,1488.7,0.1,0.2
296.0,123.0,1496.2,0.1,0.1
297.0,146.0,1479.7,0.1,0.2
298.0,199.0,1467.5,0.2,0.3
299.0,124.0,1475.0,0.2,0.3
300.0,134.0,1461.1,0.1,0.2
301.0,69.0,1469.2,0.2,0.3
302.0,121.0,1454.2,0.2,0.2
303.0,116.0,1463.7,0.2,0.2
304.0,176.0,1465.2,0.2,0.2
305.0,93.0,1449.0,0.2,0.1
306.0,122.0,1436.5,0.3,0.3
307.0,85.0,1449.1,0.2,0.2
308.0,38.0,1458.2,0.2,0.2
309.0,140.0,1466.7,0.2,0.2
310.0,78.0,1468.2,0.2,0.2
311.0,132.0,1452.3,0.2,0.2
312.0,47.0,1464.9,0.4,0.3
313.0,73.0,1472.2,0.3,0.3
314.0,112.0,1456.9,0.2,0.3
315.0,49.0,1441.5,0.3,0.3
316.0,129.0,1427.1,0.3,0.3
317.0,188.0,1440.1,0.2,0.3
318.0,211.0,1421.4,0.2,0.2
319.0,93.0,1410.6,0.1,0.2
320.0,70.0,1420.8,0.1,0.2
321.0,158.0,1433.6,0.2,0.2
322.0,187.0,1445.6,0.2,0.2
323.0,127.0,1454.5,0.2,0.2
324.0,233.0,1440.3,0.1,0.2
325.0,181.0,1452.7,0.1,0.2
326.0,123.0,1440.7,0.1,0.2
327.0,197.0,1454.0,0.1,0.2
328.0,68.0,1441.4,0.1,0.2
329.0,131.0,1426.7,0.1,0.2
330.0,206.0,1436.6,0.2,0.2
331.0,137.0,1442.0,0.2,0.2
332.0,70.0,1430.5,0.3,0.1
